name1.id,name1.taxon,name1.name_type,name1.name
2,1625,2,Animalia
3,1626,2,Arthropoda
4,1627,2,Arachnida
5,1628,2,Prostigmata
6,1629,2,Tarsonemidae
7,1630,2,Polyphagotarsonemus
8,1631,2,Polyphagotarsonemus latus
9,1632,2,Tetranychidae
10,1633,2,Eotetranychus
11,1634,2,Eotetranychus cendanai
12,1635,2,Tetranychus
13,1636,2,Tetranychus neocaledonicus
14,1637,2,Tetranychus truncatus
15,1638,2,Tetranychus tumidus
16,1639,2,Tetranychus urticae
17,1640,2,Insecta
18,1641,2,Coleoptera
19,1642,2,Brentidae
20,1643,2,Cylas
21,1644,2,Cylas formicarius
22,1645,2,Buprestidae
23,1646,2,Agrilus
24,1647,2,Agrilus occipitalis
25,1648,2,Chrysobothris
26,1649,2,Chrysobothris costata
27,1650,2,Cerambycidae
28,1651,2,Caroliniella
29,1652,2,Caroliniella aenescens
30,1653,2,Ceresium
31,1654,2,Ceresium unicolor
32,1655,2,Chlorophorus
33,1656,2,Chlorophorus annularis
34,1657,2,Pelargoderus
35,1658,2,Pelargoderus luteosparsus
36,1659,2,Cetoniidae
37,1660,2,Protaetia
38,1661,2,Protaetia fusca
39,1662,2,Protaetia orientalis
40,1663,2,Chrysomelidae
41,1664,2,Aulacophora
42,1665,2,Aulacophora abdominalis
43,1666,2,Aulacophora flavomarginata
44,1667,2,Aulacophora marginalis
45,1668,2,Aulacophora quadrimaculata
46,1669,2,Brontispa
47,1670,2,Brontispa chalybeipennis
48,1671,2,Brontispa mariana
49,1672,2,Brontispa palauensis
50,1673,2,Cassida
51,1674,2,Cassida circumdata
52,1675,2,Chaetocnema
53,1676,2,Chaetocnema confinis
54,1677,2,Coenobius
55,1678,2,Coenobius glochidionis
56,1679,2,Colasposoma
57,1680,2,Colasposoma metallicum
58,1681,2,Epitrix
59,1682,2,Epitrix hirtipennis
60,1683,2,Metriona
61,1684,2,Oxycephala
62,1685,2,Oxycephala pandani
63,1686,2,Oxycephala spaethi
64,1687,2,Pagria
65,1688,2,Pagria signata
66,1689,2,Phytorus
67,1690,2,Phytorus lineolatus
68,1691,2,Rhyparida
69,1692,2,Rhyparida carolina
70,1693,2,Coccinellidae
71,1694,2,Epilachna
72,1695,2,Epilachna philippinensis
73,1696,2,Curculionidae
74,1697,2,Aclees
75,1698,2,Aclees porosus
76,1699,2,Anaballus
77,1700,2,Anaballus amplicollis
78,1701,2,Atactus
79,1702,2,Atactus deplanatus
80,1703,2,Cryptorhynchus
81,1704,2,Cryptorhynchus mangiferae
82,1705,2,Cryptorhynchus postfasciatus
83,1706,2,Daealus
84,1707,2,Hypothenemus
85,1708,2,Hypothenemus hampei
86,1709,2,Nanyozo
87,1710,2,Nanyozo viridilineatus
88,1711,2,Nanyozo viridipictus
89,1712,2,Rhabdoscelus
90,1713,2,Rhabdoscelus asperipennis
91,1714,2,Rhabdoscelus obscurus
92,1715,2,Sphaeropterus
93,1716,2,Sternochetus
94,1717,2,Sternochetus mangiferae
